,num_categories,max_features,test_set,layer1_neurons,layer2_neurons,epochs,batch_size,parameters,train_loss,train_accuracy,train_auc,train_precision,train_recall,train_f1,test_loss,test_accuracy,test_auc,test_precision,test_recall,test_f1
214,10,5000,0.25,40,10,20,5,200450,0.0,1.0,1.0,1.0,1.0,1.0,1.5983717441558838,0.9056047201156616,0.961171567440033,0.9069423675537109,0.9056047201156616,0.906273050247325
215,10,5000,0.25,40,10,20,10,200450,0.0,1.0,1.0,1.0,1.0,1.0,1.5999876260757446,0.9056047201156616,0.9603694081306458,0.9069423675537109,0.9056047201156616,0.906273050247325
216,10,5000,0.1,10,10,5,1,50120,0.005361019168049097,0.9995899796485901,0.9999997019767761,0.9995898008346558,0.999180018901825,0.9993848678620947,0.6408967971801758,0.9261992573738098,0.9751766324043274,0.9259259104728699,0.9225092530250549,0.9242144240650073
217,10,5000,0.1,10,10,5,5,50120,0.001902635209262371,0.9995899796485901,1.0000001192092896,1.0,0.9995899796485901,0.9997949477865047,0.6923262476921082,0.9225092530250549,0.975659966468811,0.9256505370140076,0.9188191890716553,0.9222222124381483
218,10,5000,0.1,10,10,5,10,50120,0.001200051512569189,0.9995899796485901,1.0,1.0,0.9995899796485901,0.9997949477865047,0.7506858706474304,0.9225092530250549,0.9738671779632568,0.921933114528656,0.9151291251182556,0.9185185197408626
219,10,5000,0.1,10,10,10,1,50120,6.562622002093121e-05,1.0,1.0,1.0,1.0,1.0,1.4920343160629272,0.9077490568161011,0.9703397154808044,0.9074074029922485,0.9040590524673462,0.9057301331510367
220,10,5000,0.1,10,10,10,5,50120,1.4623320794271422e-06,1.0,1.0,1.0,1.0,1.0,1.6566282510757446,0.9003689885139465,0.9685332775115967,0.9003689885139465,0.9003689885139465,0.9003689885139465
221,10,5000,0.1,10,10,10,10,50120,3.1739278938403004e-07,1.0,1.0,1.0,1.0,1.0,1.7038042545318604,0.9003689885139465,0.9685007929801941,0.9003689885139465,0.9003689885139465,0.9003689885139465
222,10,5000,0.1,10,10,20,1,50120,4.88762919026442e-11,1.0,1.0,1.0,1.0,1.0,1.8906594514846802,0.9003689885139465,0.9705560803413391,0.9003689885139465,0.9003689885139465,0.9003689885139465
223,10,5000,0.1,10,10,20,5,50120,4.88762919026442e-11,1.0,1.0,1.0,1.0,1.0,1.8967316150665283,0.9003689885139465,0.9705121517181396,0.9003689885139465,0.9003689885139465,0.9003689885139465
224,10,5000,0.1,10,10,20,10,50120,4.88762919026442e-11,1.0,1.0,1.0,1.0,1.0,1.8958325386047363,0.9003689885139465,0.9704834818840027,0.9003689885139465,0.9003689885139465,0.9003689885139465
225,10,5000,0.1,20,10,5,1,100230,0.0013721094001084566,1.0,1.0,1.0,1.0,1.0,0.732115626335144,0.9188191890716553,0.9789611101150513,0.9213483333587646,0.9077490568161011,0.9144981400094263
226,10,5000,0.1,20,10,5,5,100230,0.00039325570105575025,1.0,1.0,1.0,1.0,1.0,0.7918450832366943,0.9188191890716553,0.977559506893158,0.9185185432434082,0.9151291251182556,0.9168207015846889
227,10,5000,0.1,20,10,5,10,100230,0.00022003102640155703,1.0,1.0,1.0,1.0,1.0,0.8390263915061951,0.9188191890716553,0.9777123928070068,0.9185185432434082,0.9151291251182556,0.9168207015846889
228,10,5000,0.1,20,10,10,1,100230,2.541565358171738e-08,1.0,1.0,1.0,1.0,1.0,1.6755704879760742,0.892988920211792,0.9640210270881653,0.8962963223457336,0.892988920211792,0.8946395644970336
229,10,5000,0.1,20,10,10,5,100230,5.0831343578749966e-09,1.0,1.0,1.0,1.0,1.0,1.732858657836914,0.9040590524673462,0.9641525745391846,0.9037036895751953,0.9003689885139465,0.902033257064753
230,10,5000,0.1,20,10,10,10,100230,2.2483095385439356e-09,1.0,1.0,1.0,1.0,1.0,1.7598168849945068,0.9003689885139465,0.9661685824394226,0.9037036895751953,0.9003689885139465,0.902033257064753
231,10,5000,0.1,20,10,20,1,100230,4.88762919026442e-11,1.0,1.0,1.0,1.0,1.0,1.9159237146377563,0.8966789841651917,0.9622751474380493,0.9029850959777832,0.892988920211792,0.8979591893376553
232,10,5000,0.1,20,10,20,5,100230,0.0,1.0,1.0,1.0,1.0,1.0,1.9398157596588135,0.892988920211792,0.9622811079025269,0.8962963223457336,0.892988920211792,0.8946395644970336
233,10,5000,0.1,20,10,20,10,100230,4.88762919026442e-11,1.0,1.0,1.0,1.0,1.0,1.9480854272842407,0.892988920211792,0.9622939825057983,0.8962963223457336,0.892988920211792,0.8946395644970336
234,10,5000,0.1,40,10,5,1,200450,0.0005489277536980808,1.0,0.9999999403953552,1.0,1.0,1.0,0.8308655023574829,0.9077490568161011,0.9733760356903076,0.9077490568161011,0.9077490568161011,0.9077490568161011
235,10,5000,0.1,40,10,5,5,200450,0.00015971083485055715,1.0,0.9999999403953552,1.0,1.0,1.0,0.9257166385650635,0.9077490568161011,0.9717535376548767,0.9070631861686707,0.9003689885139465,0.9037036906708088
236,10,5000,0.1,40,10,5,10,200450,8.656809950480238e-05,1.0,0.9999999403953552,1.0,1.0,1.0,0.9703884720802307,0.9077490568161011,0.9716150760650635,0.9074074029922485,0.9040590524673462,0.9057301331510367
237,10,5000,0.1,40,10,10,1,200450,2.624653028249213e-08,1.0,1.0,1.0,1.0,1.0,1.6619033813476562,0.8966789841651917,0.9684197902679443,0.8999999761581421,0.8966789841651917,0.898336410891068
238,10,5000,0.1,40,10,10,5,200450,1.0606148848069097e-08,1.0,1.0,1.0,1.0,1.0,1.7415035963058472,0.9040590524673462,0.9646087288856506,0.9040590524673462,0.9040590524673462,0.9040590524673462
239,10,5000,0.1,40,10,10,10,200450,7.380317246230561e-09,1.0,1.0,1.0,1.0,1.0,1.769025444984436,0.9003689885139465,0.9644371271133423,0.9003689885139465,0.9003689885139465,0.9003689885139465
240,10,5000,0.1,40,10,20,1,200450,0.0,1.0,1.0,1.0,1.0,1.0,1.94355309009552,0.9040590524673462,0.9624777436256409,0.9040590524673462,0.9040590524673462,0.9040590524673462
241,10,5000,0.1,40,10,20,5,200450,0.0,1.0,1.0,1.0,1.0,1.0,1.959801197052002,0.9003689885139465,0.962489902973175,0.9003689885139465,0.9003689885139465,0.9003689885139465
242,10,5000,0.1,40,10,20,10,200450,0.0,1.0,1.0,1.0,1.0,1.0,1.9667061567306519,0.9003689885139465,0.962499737739563,0.9003689885139465,0.9003689885139465,0.9003689885139465
243,19,1000,0.5,10,19,5,1,10219,0.21302680671215057,0.9511111378669739,0.9992905855178833,0.986626148223877,0.9016666412353516,0.9422351133149878,1.0927265882492065,0.7350000143051147,0.9565352201461792,0.819727897644043,0.6694444417953491,0.7370030591207144
244,19,1000,0.5,10,19,5,5,10219,0.12790051102638245,0.9822221994400024,0.9997996091842651,0.9953461289405823,0.9505555629730225,0.9724353536253986,1.1924352645874023,0.7322221994400024,0.9519282579421997,0.8014323115348816,0.6838889122009277,0.7380096143240095
245,19,1000,0.5,10,19,5,10,10219,0.09383291751146317,0.9872221946716309,0.999914288520813,0.9965753555297852,0.9700000286102295,0.9831081291591276,1.3097566366195679,0.7300000190734863,0.9473890662193298,0.7883396744728088,0.6911110877990723,0.7365304799240694
246,19,1000,0.5,10,19,10,1,10219,0.010504423640668392,0.9983333349227905,0.9999990463256836,0.9994425773620605,0.9961110949516296,0.9977740552807391,2.656217336654663,0.7244444489479065,0.9148015975952148,0.745486319065094,0.7111111283302307,0.7278931024533812
247,19,1000,0.5,10,19,10,5,10219,0.005465737544000149,0.9988889098167419,0.9999997615814209,1.0,0.9983333349227905,0.9991659724390907,3.2083897590637207,0.7149999737739563,0.9037990570068359,0.7308357357978821,0.7044444680213928,0.7173974667039832
248,19,1000,0.5,10,19,10,10,10219,0.003896123031154275,0.9988889098167419,0.9999998211860657,1.0,0.9983333349227905,0.9991659724390907,3.5920984745025635,0.7038888931274414,0.8990083336830139,0.7168192267417908,0.6961110830307007,0.7063134038717076
249,19,1000,0.5,10,19,20,1,10219,0.0020919726230204105,0.9988889098167419,0.9999998807907104,1.0,0.9983333349227905,0.9991659724390907,5.359752178192139,0.699999988079071,0.8847617506980896,0.7109728455543518,0.6983333230018616,0.7045964047808053
250,19,1000,0.5,10,19,20,5,10219,0.0019147611455991864,0.9988889098167419,0.9999998807907104,1.0,0.9983333349227905,0.9991659724390907,6.294487953186035,0.6949999928474426,0.8779255747795105,0.7036619782447815,0.6938889026641846,0.698741268887777
251,19,1000,0.5,10,19,20,10,10219,0.0018644873052835464,0.9988889098167419,0.9999998211860657,1.0,0.9983333349227905,0.9991659724390907,7.109002590179443,0.6866666674613953,0.8709114193916321,0.692307710647583,0.6850000023841858,0.6886344699258153
252,19,1000,0.5,20,19,5,1,20419,0.09891743212938309,0.9816666841506958,0.9998765587806702,0.9942693114280701,0.9638888835906982,0.9788434244166969,1.1006526947021484,0.7566666603088379,0.9575785398483276,0.8159235715866089,0.7116666436195374,0.7602373776173307
253,19,1000,0.5,20,19,5,5,20419,0.04929542914032936,0.9933333396911621,0.9999828934669495,1.0,0.9877777695655823,0.9938513094262601,1.1746361255645752,0.7661111354827881,0.9542616009712219,0.8077158331871033,0.7327777743339539,0.7684241046473155
